subject	predicate	object
 HuBMAP C000065	isa	 HuBMAP C000015
 HuBMAP C000065	referenced_in	 HuBMAP C000002
 HuBMAP C000065	processed_with_pipeline	 HuBMAP C000049
 HuBMAP C000065	processed_with_pipeline	 HuBMAP C000050
 HuBMAP C000065	has_vitessce_hint	 HuBMAP C000020
 HuBMAP C000065	has_vitessce_hint	 HuBMAP C000021
 HuBMAP C000065	has_vitessce_hint	 HuBMAP C000025
 HuBMAP C000065	has_biospecimen_type	 HuBMAP C000033
 HuBMAP C000065	has_directory_schema_yaml	 HuBMAP C000060
 HuBMAP C000065	has_field_schema_yaml	 HuBMAP C000061
 HuBMAP C000065	has_description_URL	 HuBMAP C000062
 HuBMAP C000066	isa	 HuBMAP C000063
 HuBMAP C000066	isa	 HuBMAP C000007
 HuBMAP C000066	isa	 HuBMAP C000015
 HuBMAP C000066	referenced_in	 HuBMAP C000002
 HuBMAP C000066	processed_with_pipeline	 HuBMAP C000049
 HuBMAP C000066	processed_with_pipeline	 HuBMAP C000050
 HuBMAP C000066	has_vitessce_hint	 HuBMAP C000049
 HuBMAP C000066	has_vitessce_hint	 HuBMAP C000019
 HuBMAP C000066	has_vitessce_hint	 HuBMAP C000020
 HuBMAP C000066	has_vitessce_hint	 HuBMAP C000021
 HuBMAP C000066	has_biospecimen_type	 HuBMAP C000033
 HuBMAP C000066	has_directory_schema_yaml	 HuBMAP C000060
 HuBMAP C000066	has_field_schema_yaml	 HuBMAP C000061
 HuBMAP C000066	has_description_URL	 HuBMAP C000062
 HuBMAP C000067	isa	 HuBMAP C000040
 HuBMAP C000068	isa	 HuBMAP C000041
 HuBMAP C000069	isa	 HuBMAP C000042
 HuBMAP C000070	isa	 HuBMAP C000007
 HuBMAP C000070	isa	 HuBMAP C000015
 HuBMAP C000070	isa	 HuBMAP C000029
 HuBMAP C000070	referenced_in	 HuBMAP C000002
 HuBMAP C000070	processed_with_pipeline	 HuBMAP C000049
 HuBMAP C000070	has_biospecimen_type	 HuBMAP C000033
 HuBMAP C000070	has_biospecimen_type	 HuBMAP C000035
 HuBMAP C000070	has_directory_schema_yaml	 HuBMAP C000067
 HuBMAP C000070	has_field_schema_yaml	 HuBMAP C000068
 HuBMAP C000070	has_description_URL	 HuBMAP C000069
 HuBMAP C000071	isa	 HuBMAP C000007
 HuBMAP C000071	isa	 HuBMAP C000015
 HuBMAP C000071	isa	 HuBMAP C000070
 HuBMAP C000071	referenced_in	 HuBMAP C000002
 HuBMAP C000071	processed_with_pipeline	 HuBMAP C000049
 HuBMAP C000071	processed_with_pipeline	 HuBMAP C000053
 HuBMAP C000071	has_vitessce_hint	 HuBMAP C000049
 HuBMAP C000071	has_vitessce_hint	 HuBMAP C000019
 HuBMAP C000071	has_vitessce_hint	 HuBMAP C000020
 HuBMAP C000071	has_vitessce_hint	 HuBMAP C000021
 HuBMAP C000071	has_biospecimen_type	 HuBMAP C000033
 HuBMAP C000071	has_biospecimen_type	 HuBMAP C000035
 HuBMAP C000071	has_directory_schema_yaml	 HuBMAP C000067
 HuBMAP C000071	has_field_schema_yaml	 HuBMAP C000068
 HuBMAP C000071	has_description_URL	 HuBMAP C000069
 HuBMAP C000075	isa	 HuBMAP C000011
 HuBMAP C000076	isa	 HuBMAP C000075
 HuBMAP C000076	isa	 HuBMAP C000029
 HuBMAP C000076	isa	 HuBMAP C000011
 HuBMAP C000076	referenced_in	 HuBMAP C000002
 HuBMAP C000076	contains	 HuBMAP C000031
 HuBMAP C000076	has_biospecimen_type	 HuBMAP C000034
 HuBMAP C000076	has_directory_schema_yaml	 HuBMAP C000072
 HuBMAP C000076	has_field_schema_yaml	 HuBMAP C000073
 HuBMAP C000076	has_description_URL	 HuBMAP C000074
 HuBMAP C000077	isa	 HuBMAP C000075
 HuBMAP C000077	isa	 HuBMAP C000011
 HuBMAP C000077	referenced_in	 HuBMAP C000002
 HuBMAP C000077	uses_primary_algorithm	 HuBMAP C000037
 HuBMAP C000077	processed_with_pipeline	 HuBMAP C000039
 HuBMAP C000077	has_biospecimen_type	 HuBMAP C000034
 HuBMAP C000077	has_directory_schema_yaml	 HuBMAP C000072
 HuBMAP C000077	has_field_schema_yaml	 HuBMAP C000073
 HuBMAP C000077	has_description_URL	 HuBMAP C000074
 HuBMAP C000078	isa	 HuBMAP C000007
 HuBMAP C000078	isa	 HuBMAP C000054
 HuBMAP C000078	processed_with_pipeline	 HuBMAP C000049
 HuBMAP C000079	isa	 HuBMAP C000040
 HuBMAP C000080	isa	 HuBMAP C000041
 HuBMAP C000081	isa	 HuBMAP C000042
 HuBMAP C000082	isa	 HuBMAP C000007
 HuBMAP C000082	isa	 HuBMAP C000054
 HuBMAP C000082	isa	 HuBMAP C000078
 HuBMAP C000082	referenced_in	 HuBMAP C000002
 HuBMAP C000082	has_biospecimen_type	 HuBMAP C000033
 HuBMAP C000082	has_biospecimen_type	 HuBMAP C000035
 HuBMAP C000082	has_directory_schema_yaml	 HuBMAP C000079
 HuBMAP C000082	has_field_schema_yaml	 HuBMAP C000080
 HuBMAP C000082	has_description_URL	 HuBMAP C000081
 HuBMAP C000083	isa	 HuBMAP C000040
 HuBMAP C000084	isa	 HuBMAP C000041
 HuBMAP C000085	isa	 HuBMAP C000042
 HuBMAP C000086	isa	 HuBMAP C000029
 HuBMAP C000086	isa	 HuBMAP C000054
 HuBMAP C000086	isa	 HuBMAP C000007
 HuBMAP C000086	referenced_in	 HuBMAP C000002
 HuBMAP C000086	processed_with_pipeline	 HuBMAP C000049
 HuBMAP C000086	processed_with_pipeline	 HuBMAP C000050
 HuBMAP C000086	has_biospecimen_type	 HuBMAP C000033
 HuBMAP C000086	has_directory_schema_yaml	 HuBMAP C000083
 HuBMAP C000086	has_field_schema_yaml	 HuBMAP C000084
 HuBMAP C000086	has_description_URL	 HuBMAP C000085
 HuBMAP C000087	isa	 HuBMAP C000030
 HuBMAP C000087	isa	 HuBMAP C000086
 HuBMAP C000087	isa	 HuBMAP C000007
 HuBMAP C000087	referenced_in	 HuBMAP C000002
 HuBMAP C000087	uses_image_processing_method	 HuBMAP C000028
 HuBMAP C000087	processed_with_pipeline	 HuBMAP C000049
 HuBMAP C000087	has_vitessce_hint	 HuBMAP C000018
 HuBMAP C000087	has_biospecimen_type	 HuBMAP C000033
 HuBMAP C000087	has_directory_schema_yaml	 HuBMAP C000083
 HuBMAP C000087	has_field_schema_yaml	 HuBMAP C000084
 HuBMAP C000087	has_description_URL	 HuBMAP C000085
 HuBMAP C000089	isa	 HuBMAP C000088
 HuBMAP C000090	isa	 HuBMAP C000088
 HuBMAP C000091	isa	 HuBMAP C000088
 HuBMAP C000091	has_biospecimen_type	 HuBMAP C000033
